# 0.777288
中	CHN	丨	O/0.999771	O/0.999771	R-B/0.000229	R-I/0.000000
痛	CHN	疒	R-I/0.998941	O/0.000940	R-B/0.000119	R-I/0.998941
不	CHN	一	O/0.999997	O/0.999997	R-B/0.000002	R-I/0.000001
适	CHN	辶	O/0.999988	O/0.999988	R-B/0.000010	R-I/0.000003
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
未	CHN	木	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
经	CHN	纟	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
任	CHN	亻	O/0.999997	O/0.999997	R-B/0.000003	R-I/0.000000
何	CHN	亻	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
处	CHN	夂	O/0.999995	O/0.999995	R-B/0.000005	R-I/0.000000
理	CHN	王	O/0.999995	O/0.999995	R-B/0.000002	R-I/0.000004
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
2	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
0	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
接	CHN	扌	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
回	CHN	囗	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
我	CHN	戈	O/0.999997	O/0.999997	R-B/0.000003	R-I/0.000000
院	CHN	阝	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
急	CHN	心	O/0.999982	O/0.999982	R-B/0.000018	R-I/0.000000
诊	CHN	讠	O/0.999996	O/0.999996	R-B/0.000001	R-I/0.000003
行	CHN	行	O/0.999996	O/0.999996	R-B/0.000003	R-I/0.000000
左	CHN	工	R-B/0.968797	O/0.031200	R-B/0.968797	R-I/0.000003
手	CHN	手	R-I/0.968164	O/0.031709	R-B/0.000127	R-I/0.968164
正	CHN	止	R-I/0.944448	O/0.055541	R-B/0.000012	R-I/0.944448
斜	CHN	斗	R-I/0.919604	O/0.080378	R-B/0.000018	R-I/0.919604
位	CHN	亻	R-I/0.917622	O/0.082377	R-B/0.000001	R-I/0.917622
,	PUNC	-	O/0.999998	O/0.999998	R-B/0.000000	R-I/0.000002
头	CHN	大	R-B/0.999854	O/0.000145	R-B/0.999854	R-I/0.000001
颅	CHN	页	R-I/0.999727	O/0.000266	R-B/0.000007	R-I/0.999727
及	CHN	又	R-I/0.535204	O/0.464730	R-B/0.000066	R-I/0.535204
腹	CHN	月	R-I/0.534679	O/0.000000	R-B/0.465321	R-I/0.534679
部	CHN	阝	R-I/1.000000	O/0.000000	R-B/0.000000	R-I/1.000000
C	ENG	-	R-I/0.999645	O/0.000025	R-B/0.000329	R-I/0.999645
T	ENG	-	R-I/0.999968	O/0.000028	R-B/0.000004	R-I/0.999968
、	PUNC	-	O/0.998465	O/0.998465	R-B/0.000000	R-I/0.001535
左	CHN	工	R-B/0.998353	O/0.000103	R-B/0.998353	R-I/0.001544
侧	CHN	亻	R-I/0.999930	O/0.000067	R-B/0.000003	R-I/0.999930
肱	CHN	月	R-I/0.999922	O/0.000003	R-B/0.000075	R-I/0.999922
骨	CHN	骨	R-I/0.999996	O/0.000002	R-B/0.000001	R-I/0.999996
、	PUNC	-	R-I/0.993075	O/0.006882	R-B/0.000043	R-I/0.993075
尺	CHN	尸	R-I/0.993138	O/0.000220	R-B/0.006642	R-I/0.993138
桡	CHN	木	R-I/0.999756	O/0.000096	R-B/0.000148	R-I/0.999756
骨	CHN	骨	R-I/0.999831	O/0.000040	R-B/0.000129	R-I/0.999831
正	CHN	止	R-I/0.999704	O/0.000199	R-B/0.000096	R-I/0.999704
侧	CHN	亻	R-I/0.999773	O/0.000226	R-B/0.000001	R-I/0.999773
位	CHN	亻	R-I/0.999751	O/0.000248	R-B/0.000000	R-I/0.999751
、	PUNC	-	R-I/0.978854	O/0.021146	R-B/0.000000	R-I/0.978854
腰	CHN	月	R-I/0.974802	O/0.000000	R-B/0.025198	R-I/0.974802
椎	CHN	木	R-I/0.999992	O/0.000000	R-B/0.000008	R-I/0.999992
正	CHN	止	R-I/0.999876	O/0.000119	R-B/0.000005	R-I/0.999876
侧	CHN	亻	R-I/0.999879	O/0.000120	R-B/0.000000	R-I/0.999879
位	CHN	亻	R-I/0.999185	O/0.000815	R-B/0.000000	R-I/0.999185
及	CHN	又	O/0.995775	O/0.995775	R-B/0.000003	R-I/0.004222
骨	CHN	骨	R-B/0.995217	O/0.001191	R-B/0.995217	R-I/0.003593
盆	CHN	皿	R-I/0.998511	O/0.001168	R-B/0.000321	R-I/0.998511
正	CHN	止	R-I/0.965498	O/0.034297	R-B/0.000205	R-I/0.965498
位	CHN	亻	R-I/0.965296	O/0.034669	R-B/0.000036	R-I/0.965296
:	PUNC	-	O/0.999899	O/0.999899	R-B/0.000000	R-I/0.000100
未	CHN	木	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
见	CHN	见	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
异	CHN	廾	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
常	CHN	巾	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
。	PUNC	-	O/0.999997	O/0.999997	R-B/0.000003	R-I/0.000000
腰	CHN	月	R-B/0.999658	O/0.000295	R-B/0.999658	R-I/0.000047
3	NUM	-	R-I/0.998112	O/0.001396	R-B/0.000492	R-I/0.998112
-	PUNC	-	R-I/0.998614	O/0.000860	R-B/0.000527	R-I/0.998614
骶	CHN	骨	R-I/0.999193	O/0.000001	R-B/0.000806	R-I/0.999193
1	NUM	-	R-I/0.999988	O/0.000007	R-B/0.000005	R-I/0.999988
间	CHN	门	R-I/0.999992	O/0.000006	R-B/0.000002	R-I/0.999992
盘	CHN	皿	R-I/0.999993	O/0.000007	R-B/0.000000	R-I/0.999993
C	ENG	-	R-I/0.998356	O/0.000014	R-B/0.001630	R-I/0.998356
T	ENG	-	R-I/0.999979	O/0.000020	R-B/0.000000	R-I/0.999979
平	CHN	干	O/0.686832	O/0.686832	R-B/0.000337	R-I/0.312831
扫	CHN	扌	O/0.701012	O/0.701012	R-B/0.000033	R-I/0.298954
示	CHN	示	O/0.999950	O/0.999950	R-B/0.000000	R-I/0.000050
:	PUNC	-	O/0.999996	O/0.999996	R-B/0.000003	R-I/0.000001
椎	CHN	木	R-B/0.944612	O/0.055005	R-B/0.944612	R-I/0.000383
间	CHN	门	R-I/0.944866	O/0.055046	R-B/0.000088	R-I/0.944866
盘	CHN	皿	R-I/0.913859	O/0.086136	R-B/0.000006	R-I/0.913859
突	CHN	穴	O/0.996153	O/0.996153	R-B/0.000008	R-I/0.003839
出	CHN	凵	O/0.996333	O/0.996333	R-B/0.000069	R-I/0.003598
(	PUNC	-	O/0.999954	O/0.999954	R-B/0.000003	R-I/0.000043
L	ENG	-	O/0.995373	O/0.995373	R-B/0.004581	R-I/0.000047
5	NUM	-	O/0.996020	O/0.996020	R-B/0.000013	R-I/0.003967
-	PUNC	-	O/0.996059	O/0.996059	R-B/0.000003	R-I/0.003938
S	ENG	-	O/0.996050	O/0.996050	R-B/0.000018	R-I/0.003932
1	NUM	-	O/0.999011	O/0.999011	R-B/0.000000	R-I/0.000989
)	PUNC	-	O/0.999221	O/0.999221	R-B/0.000000	R-I/0.000779
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
患	CHN	心	O/0.999993	O/0.999993	R-B/0.000007	R-I/0.000000
者	CHN	耂	O/0.999991	O/0.999991	R-B/0.000005	R-I/0.000004
及	CHN	又	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
家	CHN	宀	O/0.999977	O/0.999977	R-B/0.000023	R-I/0.000000
属	CHN	尸	O/0.999829	O/0.999829	R-B/0.000152	R-I/0.000019
为	CHN	丶	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
求	CHN	水	O/0.999751	O/0.999751	R-B/0.000248	R-I/0.000000
进	CHN	辶	O/0.999956	O/0.999956	R-B/0.000003	R-I/0.000041
一	CHN	一	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
步	CHN	止	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
诊	CHN	讠	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
治	CHN	氵	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
要	CHN	覀	O/0.999864	O/0.999864	R-B/0.000136	R-I/0.000000
求	CHN	水	O/0.999879	O/0.999879	R-B/0.000004	R-I/0.000117
住	CHN	亻	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
治	CHN	氵	O/0.999996	O/0.999996	R-B/0.000004	R-I/0.000000
疗	CHN	疒	O/0.999998	O/0.999998	R-B/0.000000	R-I/0.000002
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
急	CHN	心	O/0.999872	O/0.999872	R-B/0.000128	R-I/0.000000
诊	CHN	讠	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
以	CHN	人	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/0.999586	O/0.999586	R-B/0.000414	R-I/0.000000
、	PUNC	-	O/0.999572	O/0.999572	R-B/0.000019	R-I/0.000409
腰	CHN	月	R-B/0.999252	O/0.000002	R-B/0.999252	R-I/0.000746
部	CHN	阝	R-I/0.999995	O/0.000004	R-B/0.000001	R-I/0.999995
及	CHN	又	O/0.999998	O/0.999998	R-B/0.000001	R-I/0.000002
左	CHN	工	R-B/0.999997	O/0.000000	R-B/0.999997	R-I/0.000003
上	CHN	一	R-I/0.999990	O/0.000000	R-B/0.000010	R-I/0.999990
肢	CHN	月	R-I/0.999998	O/0.000002	R-B/0.000000	R-I/0.999998
外	CHN	夕	O/0.968651	O/0.968651	R-B/0.025189	R-I/0.006159
伤	CHN	亻	O/0.968725	O/0.968725	R-B/0.000139	R-I/0.031137
。	PUNC	-	O/0.999997	O/0.999997	R-B/0.000001	R-I/0.000002
2	NUM	-	O/0.999679	O/0.999679	R-B/0.000308	R-I/0.000013
、	PUNC	-	O/0.999684	O/0.999684	R-B/0.000001	R-I/0.000315
腰	CHN	月	R-B/0.999634	O/0.000001	R-B/0.999634	R-I/0.000365
椎	CHN	木	R-I/0.999981	O/0.000001	R-B/0.000018	R-I/0.999981
间	CHN	门	R-I/0.999982	O/0.000014	R-B/0.000004	R-I/0.999982
盘	CHN	皿	R-I/0.998845	O/0.001150	R-B/0.000005	R-I/0.998845
突	CHN	穴	R-I/0.644234	O/0.355745	R-B/0.000022	R-I/0.644234
出	CHN	凵	R-I/0.635860	O/0.364050	R-B/0.000090	R-I/0.635860
收	CHN	攵	O/0.999898	O/0.999898	R-B/0.000003	R-I/0.000099
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
3	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
.	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
患	CHN	心	O/0.999992	O/0.999992	R-B/0.000008	R-I/0.000000
者	CHN	耂	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
自	CHN	自	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/0.999990	O/0.999990	R-B/0.000010	R-I/0.000000
以	CHN	人	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
来	CHN	木	O/0.998239	O/0.998239	R-B/0.001761	R-I/0.000001
无	CHN	无	O/0.999991	O/0.999991	R-B/0.000006	R-I/0.000003
头	CHN	大	R-B/0.999997	O/0.000002	R-B/0.999997	R-I/0.000001
痛	CHN	疒	R-I/0.999996	O/0.000003	R-B/0.000000	R-I/0.999996
、	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
头	CHN	大	R-B/0.999749	O/0.000251	R-B/0.999749	R-I/0.000000
晕	CHN	日	R-I/0.998831	O/0.001168	R-B/0.000001	R-I/0.998831
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
无	CHN	无	O/0.999838	O/0.999838	R-B/0.000162	R-I/0.000000
恶	CHN	心	R-B/0.999190	O/0.000744	R-B/0.999190	R-I/0.000066
心	CHN	心	R-I/0.999181	O/0.000771	R-B/0.000048	R-I/0.999181
及	CHN	又	O/0.999441	O/0.999441	R-B/0.000069	R-I/0.000490
呕	CHN	口	R-B/0.999984	O/0.000015	R-B/0.999984	R-I/0.000001
吐	CHN	口	R-I/0.999982	O/0.000017	R-B/0.000000	R-I/0.999982
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
无	CHN	无	O/0.999989	O/0.999989	R-B/0.000011	R-I/0.000000
腹	CHN	月	R-B/0.999993	O/0.000004	R-B/0.999993	R-I/0.000004
痛	CHN	疒	R-I/0.999824	O/0.000019	R-B/0.000158	R-I/0.999824
腹	CHN	月	R-B/0.999774	O/0.000002	R-B/0.999774	R-I/0.000224
泻	CHN	氵	R-I/0.979532	O/0.019266	R-B/0.001202	R-I/0.979532
,	PUNC	-	O/0.999992	O/0.999992	R-B/0.000000	R-I/0.000008
无	CHN	无	O/0.999991	O/0.999991	R-B/0.000009	R-I/0.000000
呼	CHN	口	R-B/0.995588	O/0.004412	R-B/0.995588	R-I/0.000000
吸	CHN	口	R-I/0.995459	O/0.004537	R-B/0.000003	R-I/0.995459
困	CHN	囗	R-I/0.994449	O/0.005453	R-B/0.000098	R-I/0.994449
难	CHN	隹	R-I/0.994186	O/0.005802	R-B/0.000011	R-I/0.994186
,	PUNC	-	O/0.999997	O/0.999997	R-B/0.000000	R-I/0.000003
饮	CHN	饣	O/0.999990	O/0.999990	R-B/0.000010	R-I/0.000000
食	CHN	食	O/0.999998	O/0.999998	R-B/0.000001	R-I/0.000000
可	CHN	口	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
二	CHN	二	R-B/0.999978	O/0.000022	R-B/0.999978	R-I/0.000000
便	CHN	亻	R-I/0.999977	O/0.000023	R-B/0.000000	R-I/0.999977
正	CHN	止	O/0.999787	O/0.999787	R-B/0.000000	R-I/0.000213
常	CHN	巾	O/0.999991	O/0.999991	R-B/0.000000	R-I/0.000009
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
4	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
.	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
查	CHN	木	R-B/0.999998	O/0.000001	R-B/0.999998	R-I/0.000001
体	CHN	亻	R-I/0.999999	O/0.000001	R-B/0.000000	R-I/0.999999
:	PUNC	-	O/0.999960	O/0.999960	R-B/0.000001	R-I/0.000039
T	ENG	-	R-B/0.998932	O/0.001023	R-B/0.998932	R-I/0.000046
3	NUM	-	O/0.999996	O/0.999996	R-B/0.000000	R-I/0.000003
6	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
.	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
9	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
P	ENG	-	R-B/0.996638	O/0.003362	R-B/0.996638	R-I/0.000000
9	NUM	-	O/0.980345	O/0.980345	R-B/0.000002	R-I/0.019653
3	NUM	-	O/0.994154	O/0.994154	R-B/0.000000	R-I/0.005845
分	CHN	刀	O/0.994377	O/0.994377	R-B/0.000003	R-I/0.005620
,	PUNC	-	O/0.999957	O/0.999957	R-B/0.000001	R-I/0.000042
R	ENG	-	R-B/0.998319	O/0.001645	R-B/0.998319	R-I/0.000036
1	NUM	-	O/0.999350	O/0.999350	R-B/0.000000	R-I/0.000650
8	NUM	-	O/0.999996	O/0.999996	R-B/0.000000	R-I/0.000004
分	CHN	刀	O/0.999996	O/0.999996	R-B/0.000001	R-I/0.000003
,	PUNC	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
B	ENG	-	R-B/0.999863	O/0.000125	R-B/0.999863	R-I/0.000011
P	ENG	-	R-I/0.999287	O/0.000092	R-B/0.000621	R-I/0.999287
1	NUM	-	O/0.999834	O/0.999834	R-B/0.000000	R-I/0.000166
5	NUM	-	O/0.999991	O/0.999991	R-B/0.000001	R-I/0.000009
2	NUM	-	O/0.999992	O/0.999992	R-B/0.000001	R-I/0.000007
/	PUNC	-	O/0.999998	O/0.999998	R-B/0.000000	R-I/0.000002
9	NUM	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
3	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
m	ENG	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
m	ENG	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
H	ENG	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
g	ENG	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
神	CHN	礻	O/0.999963	O/0.999963	R-B/0.000037	R-I/0.000000
清	CHN	氵	O/0.999964	O/0.999964	R-B/0.000002	R-I/0.000034
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
精	CHN	米	O/0.999995	O/0.999995	R-B/0.000005	R-I/0.000000
神	CHN	礻	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
差	CHN	工	O/0.999983	O/0.999983	R-B/0.000014	R-I/0.000002
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
发	CHN	又	O/0.999959	O/0.999959	R-B/0.000041	R-I/0.000000
育	CHN	月	O/0.999970	O/0.999970	R-B/0.000021	R-I/0.000009
正	CHN	止	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
常	CHN	巾	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
营	CHN	艹	O/0.999970	O/0.999970	R-B/0.000030	R-I/0.000000
养	CHN	丷	O/0.999998	O/0.999998	R-B/0.000001	R-I/0.000002
中	CHN	丨	O/0.999987	O/0.999987	R-B/0.000013	R-I/0.000000
等	CHN	竹	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
言	CHN	言	O/0.999921	O/0.999921	R-B/0.000079	R-I/0.000000
语	CHN	讠	O/0.999959	O/0.999959	R-B/0.000002	R-I/0.000039
流	CHN	氵	O/0.999931	O/0.999931	R-B/0.000036	R-I/0.000032
利	CHN	刂	O/0.999952	O/0.999952	R-B/0.000000	R-I/0.000048
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
查	CHN	木	R-B/0.960191	O/0.039808	R-B/0.960191	R-I/0.000001
体	CHN	亻	R-I/0.959389	O/0.040517	R-B/0.000095	R-I/0.959389
合	CHN	口	O/0.999958	O/0.999958	R-B/0.000003	R-I/0.000039
作	CHN	亻	O/0.999977	O/0.999977	R-B/0.000003	R-I/0.000020
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
平	CHN	干	O/0.999034	O/0.999034	R-B/0.000966	R-I/0.000000
车	CHN	车	O/0.999981	O/0.999981	R-B/0.000002	R-I/0.000017
推	CHN	扌	O/0.999996	O/0.999996	R-B/0.000004	R-I/0.000000
入	CHN	入	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
病	CHN	疒	O/0.999997	O/0.999997	R-B/0.000003	R-I/0.000000
房	CHN	户	O/0.999993	O/0.999993	R-B/0.000006	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
双	CHN	又	R-B/0.997265	O/0.002728	R-B/0.997265	R-I/0.000007
侧	CHN	亻	R-I/0.997283	O/0.002714	R-B/0.000003	R-I/0.997283
瞳	CHN	目	R-I/0.997248	O/0.001322	R-B/0.001430	R-I/0.997248
孔	CHN	子	R-I/0.998662	O/0.001322	R-B/0.000015	R-I/0.998662
正	CHN	止	R-B/0.999760	O/0.000001	R-B/0.999760	R-I/0.000240
大	CHN	大	R-I/0.999969	O/0.000000	R-B/0.000031	R-I/0.999969
等	CHN	竹	R-I/0.999941	O/0.000055	R-B/0.000005	R-I/0.999941
圆	CHN	囗	R-I/0.999913	O/0.000087	R-B/0.000000	R-I/0.999913
,	PUNC	-	O/0.999997	O/0.999997	R-B/0.000000	R-I/0.000003
对	CHN	寸	R-B/0.999963	O/0.000037	R-B/0.999963	R-I/0.000000
光	CHN	儿	R-I/0.999943	O/0.000009	R-B/0.000048	R-I/0.999943
反	CHN	又	R-I/0.999978	O/0.000014	R-B/0.000007	R-I/0.999978
射	CHN	寸	R-I/0.999979	O/0.000021	R-B/0.000000	R-I/0.999979
灵	CHN	火	O/0.999878	O/0.999878	R-B/0.000020	R-I/0.000102
敏	CHN	攵	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
心	CHN	心	R-B/0.999973	O/0.000023	R-B/0.999973	R-I/0.000004
肺	CHN	月	R-I/0.995519	O/0.000015	R-B/0.004466	R-I/0.995519
腹	CHN	月	R-I/0.991131	O/0.001596	R-B/0.007273	R-I/0.991131
查	CHN	木	R-I/0.982517	O/0.000307	R-B/0.017176	R-I/0.982517
体	CHN	亻	R-I/0.999424	O/0.000495	R-B/0.000080	R-I/0.999424
未	CHN	木	O/0.999997	O/0.999997	R-B/0.000001	R-I/0.000002
见	CHN	见	O/0.999997	O/0.999997	R-B/0.000003	R-I/0.000000
异	CHN	廾	O/0.999987	O/0.999987	R-B/0.000013	R-I/0.000000
常	CHN	巾	O/0.999996	O/0.999996	R-B/0.000000	R-I/0.000004
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
肠	CHN	月	R-B/0.999998	O/0.000001	R-B/0.999998	R-I/0.000001
鸣	CHN	鸟	R-I/0.999960	O/0.000003	R-B/0.000037	R-I/0.999960
音	CHN	音	R-I/0.999976	O/0.000023	R-B/0.000001	R-I/0.999976
正	CHN	止	O/0.999998	O/0.999998	R-B/0.000000	R-I/0.000002
常	CHN	巾	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
肛	CHN	月	R-B/1.000000	O/0.000000	R-B/1.000000	R-I/0.000000
门	CHN	门	R-I/0.999996	O/0.000000	R-B/0.000004	R-I/0.999996
外	CHN	夕	R-I/0.999953	O/0.000000	R-B/0.000047	R-I/0.999953
生	CHN	生	R-I/0.997393	O/0.002182	R-B/0.000424	R-I/0.997393
殖	CHN	歹	R-I/0.997750	O/0.001843	R-B/0.000408	R-I/0.997750
器	CHN	口	R-I/0.997726	O/0.002238	R-B/0.000036	R-I/0.997726
未	CHN	木	O/0.999979	O/0.999979	R-B/0.000000	R-I/0.000021
见	CHN	见	O/0.999989	O/0.999989	R-B/0.000011	R-I/0.000000
异	CHN	廾	O/0.999997	O/0.999997	R-B/0.000003	R-I/0.000000
常	CHN	巾	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
。	PUNC	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
脊	CHN	月	R-B/0.999979	O/0.000010	R-B/0.999979	R-I/0.000011
柱	CHN	木	R-I/0.999073	O/0.000052	R-B/0.000875	R-I/0.999073
四	CHN	囗	R-B/0.999494	O/0.000001	R-B/0.999494	R-I/0.000505
肢	CHN	月	R-I/0.999954	O/0.000013	R-B/0.000033	R-I/0.999954
无	CHN	无	O/0.999993	O/0.999993	R-B/0.000002	R-I/0.000005
畸	CHN	田	R-B/0.999945	O/0.000052	R-B/0.999945	R-I/0.000002
形	CHN	彡	R-I/0.999844	O/0.000154	R-B/0.000002	R-I/0.999844
。	PUNC	-	O/0.999982	O/0.999982	R-B/0.000012	R-I/0.000005
左	CHN	工	R-B/0.999991	O/0.000002	R-B/0.999991	R-I/0.000007
肘	CHN	月	R-I/0.999995	O/0.000001	R-B/0.000004	R-I/0.999995
部	CHN	阝	R-I/0.999976	O/0.000024	R-B/0.000000	R-I/0.999976
可	CHN	口	O/0.999995	O/0.999995	R-B/0.000001	R-I/0.000003
见	CHN	见	O/0.999997	O/0.999997	R-B/0.000002	R-I/0.000001
2	NUM	-	O/0.999969	O/0.999969	R-B/0.000031	R-I/0.000000
.	PUNC	-	O/0.999962	O/0.999962	R-B/0.000007	R-I/0.000030
0	NUM	-	O/0.993736	O/0.993736	R-B/0.006221	R-I/0.000043
c	ENG	-	O/0.993322	O/0.993322	R-B/0.000280	R-I/0.006398
m	ENG	-	O/0.992645	O/0.992645	R-B/0.000314	R-I/0.007041
皮	CHN	皮	O/0.840216	O/0.840216	R-B/0.152367	R-I/0.007417
肤	CHN	月	O/0.838767	O/0.838767	R-B/0.002021	R-I/0.159212
挫	CHN	扌	O/0.986168	O/0.986168	R-B/0.013632	R-I/0.000200
伤	CHN	亻	O/0.986174	O/0.986174	R-B/0.000086	R-I/0.013740
,	PUNC	-	O/0.999997	O/0.999997	R-B/0.000000	R-I/0.000003
未	CHN	木	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
见	CHN	见	O/0.999981	O/0.999981	R-B/0.000019	R-I/0.000000
血	CHN	血	O/0.970618	O/0.970618	R-B/0.029378	R-I/0.000004
性	CHN	忄	O/0.999372	O/0.999372	R-B/0.000000	R-I/0.000628
渗	CHN	氵	R-B/0.997908	O/0.002076	R-B/0.997908	R-I/0.000016
出	CHN	凵	R-I/0.997886	O/0.002104	R-B/0.000011	R-I/0.997886
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
局	CHN	尸	O/0.969913	O/0.969913	R-B/0.030087	R-I/0.000000
部	CHN	阝	O/0.969631	O/0.969631	R-B/0.000283	R-I/0.030086
红	CHN	纟	R-B/0.999787	O/0.000206	R-B/0.999787	R-I/0.000007
肿	CHN	月	R-I/0.999794	O/0.000204	R-B/0.000002	R-I/0.999794
,	PUNC	-	O/0.999995	O/0.999995	R-B/0.000000	R-I/0.000005
压	CHN	厂	R-B/0.999975	O/0.000025	R-B/0.999975	R-I/0.000000
痛	CHN	疒	R-I/0.999925	O/0.000045	R-B/0.000029	R-I/0.999925
叩	CHN	口	R-B/0.999074	O/0.000212	R-B/0.999074	R-I/0.000714
击	CHN	凵	R-I/0.999702	O/0.000204	R-B/0.000093	R-I/0.999702
痛	CHN	疒	R-I/0.999755	O/0.000244	R-B/0.000001	R-I/0.999755
阳	CHN	阝	O/0.999978	O/0.999978	R-B/0.000003	R-I/0.000020
性	CHN	忄	O/0.999984	O/0.999984	R-B/0.000001	R-I/0.000015
,	PUNC	-	O/0.999986	O/0.999986	R-B/0.000003	R-I/0.000011
左	CHN	工	R-B/0.999955	O/0.000004	R-B/0.999955	R-I/0.000041
肘	CHN	月	R-I/0.999997	O/0.000003	R-B/0.000001	R-I/0.999997
