# 0.000976
①	OTHER	O/0.944913	Bo-B/0.006526	Bo-I/0.006098	Ch-B/0.005691	Ch-I/0.003847	DT-B/0.001284	DT-I/0.001297	O/0.944913	Si-B/0.002545	Si-I/0.001000	Sy-B/0.008803	Sy-I/0.011777	Tr-B/0.001827	Tr-I/0.001805	unct-B/0.001245	unct-I/0.001342
适	CHN	Sy-I/0.668249	Bo-B/0.000020	Bo-I/0.000192	Ch-B/0.000024	Ch-I/0.000461	DT-B/0.000014	DT-I/0.000516	O/0.306175	Si-B/0.000015	Si-I/0.021371	Sy-B/0.000119	Sy-I/0.668249	Tr-B/0.000019	Tr-I/0.002043	unct-B/0.000012	unct-I/0.000771
,	PUNC	O/0.999997	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999997	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000002	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
自	CHN	O/0.996950	Bo-B/0.001214	Bo-I/0.000002	Ch-B/0.000583	Ch-I/0.000001	DT-B/0.000023	DT-I/0.000001	O/0.996950	Si-B/0.000618	Si-I/0.000002	Sy-B/0.000369	Sy-I/0.000001	Tr-B/0.000184	Tr-I/0.000001	unct-B/0.000049	unct-I/0.000001
服	CHN	O/0.996748	Bo-B/0.000062	Bo-I/0.001024	Ch-B/0.000098	Ch-I/0.000474	DT-B/0.000004	DT-I/0.000012	O/0.996748	Si-B/0.000244	Si-I/0.000607	Sy-B/0.000086	Sy-I/0.000335	Tr-B/0.000111	Tr-I/0.000165	unct-B/0.000007	unct-I/0.000024
中	CHN	O/0.938881	Bo-B/0.000609	Bo-I/0.001066	Ch-B/0.001229	Ch-I/0.000575	DT-B/0.000037	DT-I/0.000072	O/0.938881	Si-B/0.001148	Si-I/0.000945	Sy-B/0.000471	Sy-I/0.000399	Tr-B/0.054095	Tr-I/0.000362	unct-B/0.000053	unct-I/0.000057
药	CHN	O/0.938540	Bo-B/0.000140	Bo-I/0.001565	Ch-B/0.000207	Ch-I/0.001769	DT-B/0.000024	DT-I/0.000167	O/0.938540	Si-B/0.000159	Si-I/0.002091	Sy-B/0.000306	Sy-I/0.000763	Tr-B/0.000400	Tr-I/0.053736	unct-B/0.000028	unct-I/0.000104
后	CHN	O/0.974214	Bo-B/0.000034	Bo-I/0.000832	Ch-B/0.000024	Ch-I/0.000707	DT-B/0.000010	DT-I/0.000223	O/0.974214	Si-B/0.000029	Si-I/0.001698	Sy-B/0.000014	Sy-I/0.000689	Tr-B/0.000041	Tr-I/0.021381	unct-B/0.000013	unct-I/0.000090
症	CHN	O/0.993738	Bo-B/0.000011	Bo-I/0.000170	Ch-B/0.000021	Ch-I/0.000116	DT-B/0.000002	DT-I/0.000025	O/0.993738	Si-B/0.000011	Si-I/0.000780	Sy-B/0.000009	Sy-I/0.000100	Tr-B/0.000042	Tr-I/0.004953	unct-B/0.000002	unct-I/0.000020
状	CHN	O/0.994510	Bo-B/0.000008	Bo-I/0.000089	Ch-B/0.000078	Ch-I/0.000092	DT-B/0.000003	DT-I/0.000011	O/0.994510	Si-B/0.000041	Si-I/0.000551	Sy-B/0.000106	Sy-I/0.000067	Tr-B/0.000355	Tr-I/0.004068	unct-B/0.000005	unct-I/0.000014
有	CHN	O/0.992419	Bo-B/0.000021	Bo-I/0.000027	Ch-B/0.000306	Ch-I/0.000168	DT-B/0.000007	DT-I/0.000017	O/0.992419	Si-B/0.000146	Si-I/0.000531	Sy-B/0.000374	Sy-I/0.000174	Tr-B/0.001474	Tr-I/0.004299	unct-B/0.000014	unct-I/0.000023
所	CHN	O/0.948583	Bo-B/0.000144	Bo-I/0.000077	Ch-B/0.004392	Ch-I/0.000796	DT-B/0.000132	DT-I/0.000254	O/0.948583	Si-B/0.011172	Si-I/0.000783	Sy-B/0.007407	Sy-I/0.000652	Tr-B/0.018395	Tr-I/0.006866	unct-B/0.000184	unct-I/0.000163
缓	CHN	O/0.932042	Bo-B/0.000323	Bo-I/0.000131	Ch-B/0.000994	Ch-I/0.005378	DT-B/0.000088	DT-I/0.000684	O/0.932042	Si-B/0.000319	Si-I/0.011599	Sy-B/0.008054	Sy-I/0.007963	Tr-B/0.005966	Tr-I/0.026044	unct-B/0.000053	unct-I/0.000366
解	CHN	O/0.929263	Bo-B/0.000173	Bo-I/0.000450	Ch-B/0.000350	Ch-I/0.006261	DT-B/0.000092	DT-I/0.001633	O/0.929263	Si-B/0.000171	Si-I/0.011902	Sy-B/0.000588	Sy-I/0.015890	Tr-B/0.000210	Tr-I/0.032477	unct-B/0.000078	unct-I/0.000461
”	PUNC	O/0.999846	Bo-B/0.000001	Bo-I/0.000006	Ch-B/0.000001	Ch-I/0.000008	DT-B/0.000000	DT-I/0.000001	O/0.999846	Si-B/0.000000	Si-I/0.000009	Sy-B/0.000001	Sy-I/0.000063	Tr-B/0.000000	Tr-I/0.000053	unct-B/0.000000	unct-I/0.000009
;	PUNC	O/0.999984	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000002	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999984	Si-B/0.000001	Si-I/0.000000	Sy-B/0.000007	Sy-I/0.000001	Tr-B/0.000001	Tr-I/0.000001	unct-B/0.000000	unct-I/0.000001
“	PUNC	O/0.999042	Bo-B/0.000046	Bo-I/0.000001	Ch-B/0.000214	Ch-I/0.000001	DT-B/0.000002	DT-I/0.000000	O/0.999042	Si-B/0.000026	Si-I/0.000001	Sy-B/0.000639	Sy-I/0.000009	Tr-B/0.000014	Tr-I/0.000001	unct-B/0.000003	unct-I/0.000001
近	CHN	O/0.983069	Bo-B/0.001266	Bo-I/0.000064	Ch-B/0.004268	Ch-I/0.000226	DT-B/0.000165	DT-I/0.000028	O/0.983069	Si-B/0.003221	Si-I/0.000037	Sy-B/0.006175	Sy-I/0.000664	Tr-B/0.000667	Tr-I/0.000026	unct-B/0.000114	unct-I/0.000010
2	NUM	O/0.988818	Bo-B/0.000087	Bo-I/0.001018	Ch-B/0.000077	Ch-I/0.000879	DT-B/0.000020	DT-I/0.000007	O/0.988818	Si-B/0.000135	Si-I/0.002016	Sy-B/0.000632	Sy-I/0.006208	Tr-B/0.000017	Tr-I/0.000072	unct-B/0.000005	unct-I/0.000008
周	CHN	O/0.971388	Bo-B/0.000487	Bo-I/0.000955	Ch-B/0.001702	Ch-I/0.000622	DT-B/0.000048	DT-I/0.000029	O/0.971388	Si-B/0.000786	Si-I/0.001918	Sy-B/0.014903	Sy-I/0.006708	Tr-B/0.000286	Tr-I/0.000049	unct-B/0.000107	unct-I/0.000012
开	CHN	O/0.970462	Bo-B/0.000087	Bo-I/0.001086	Ch-B/0.000079	Ch-I/0.001829	DT-B/0.000007	DT-I/0.000035	O/0.970462	Si-B/0.000080	Si-I/0.002218	Sy-B/0.001962	Sy-I/0.021745	Tr-B/0.000070	Tr-I/0.000256	unct-B/0.000013	unct-I/0.000071
始	CHN	O/0.969661	Bo-B/0.000084	Bo-I/0.000729	Ch-B/0.000084	Ch-I/0.000883	DT-B/0.000006	DT-I/0.000023	O/0.969661	Si-B/0.000074	Si-I/0.001850	Sy-B/0.002857	Sy-I/0.023419	Tr-B/0.000075	Tr-I/0.000182	unct-B/0.000012	unct-I/0.000060
自	CHN	O/0.962810	Bo-B/0.000145	Bo-I/0.000667	Ch-B/0.000117	Ch-I/0.000644	DT-B/0.000015	DT-I/0.000041	O/0.962810	Si-B/0.000155	Si-I/0.001699	Sy-B/0.006783	Sy-I/0.026274	Tr-B/0.000338	Tr-I/0.000202	unct-B/0.000031	unct-I/0.000078
觉	CHN	O/0.947374	Bo-B/0.000039	Bo-I/0.000623	Ch-B/0.000090	Ch-I/0.000453	DT-B/0.000040	DT-I/0.000086	O/0.947374	Si-B/0.000221	Si-I/0.001626	Sy-B/0.015332	Sy-I/0.033223	Tr-B/0.000284	Tr-I/0.000426	unct-B/0.000067	unct-I/0.000118
左	CHN	Sy-B/0.932740	Bo-B/0.000383	Bo-I/0.000244	Ch-B/0.000212	Ch-I/0.000158	DT-B/0.000057	DT-I/0.000100	O/0.011814	Si-B/0.001266	Si-I/0.001404	Sy-B/0.932740	Sy-I/0.050300	Tr-B/0.000716	Tr-I/0.000272	unct-B/0.000216	unct-I/0.000118
侧	CHN	Sy-I/0.985342	Bo-B/0.000009	Bo-I/0.000474	Ch-B/0.000010	Ch-I/0.000158	DT-B/0.000007	DT-I/0.000028	O/0.004511	Si-B/0.000044	Si-I/0.002207	Sy-B/0.006657	Sy-I/0.985342	Tr-B/0.000048	Tr-I/0.000384	unct-B/0.000011	unct-I/0.000109
面	CHN	Sy-I/0.992649	Bo-B/0.000008	Bo-I/0.000399	Ch-B/0.000005	Ch-I/0.000081	DT-B/0.000002	DT-I/0.000009	O/0.002905	Si-B/0.000018	Si-I/0.002046	Sy-B/0.001583	Sy-I/0.992649	Tr-B/0.000017	Tr-I/0.000240	unct-B/0.000003	unct-I/0.000036
部	CHN	Sy-I/0.994032	Bo-B/0.000001	Bo-I/0.000352	Ch-B/0.000002	Ch-I/0.000058	DT-B/0.000001	DT-I/0.000012	O/0.002966	Si-B/0.000012	Si-I/0.001998	Sy-B/0.000308	Sy-I/0.994032	Tr-B/0.000013	Tr-I/0.000216	unct-B/0.000003	unct-I/0.000026
麻	CHN	Sy-I/0.993361	Bo-B/0.000004	Bo-I/0.000040	Ch-B/0.000001	Ch-I/0.000042	DT-B/0.000001	DT-I/0.000027	O/0.004023	Si-B/0.000003	Si-I/0.001967	Sy-B/0.000242	Sy-I/0.993361	Tr-B/0.000011	Tr-I/0.000236	unct-B/0.000002	unct-I/0.000038
木	CHN	Sy-I/0.992170	Bo-B/0.000004	Bo-I/0.000047	Ch-B/0.000002	Ch-I/0.000040	DT-B/0.000003	DT-I/0.000111	O/0.005207	Si-B/0.000001	Si-I/0.002028	Sy-B/0.000005	Sy-I/0.992170	Tr-B/0.000002	Tr-I/0.000295	unct-B/0.000003	unct-I/0.000082
,	PUNC	O/0.999969	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999969	Si-B/0.000003	Si-I/0.000001	Sy-B/0.000004	Sy-I/0.000020	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
呈	CHN	O/0.862992	Bo-B/0.019920	Bo-I/0.000021	Ch-B/0.010911	Ch-I/0.000010	DT-B/0.000500	DT-I/0.000029	O/0.862992	Si-B/0.076193	Si-I/0.000235	Sy-B/0.014960	Sy-I/0.000025	Tr-B/0.011765	Tr-I/0.000039	unct-B/0.002367	unct-I/0.000036
阵	CHN	O/0.847863	Bo-B/0.000053	Bo-I/0.018002	Ch-B/0.000463	Ch-I/0.009991	DT-B/0.000081	DT-I/0.000641	O/0.847863	Si-B/0.011465	Si-I/0.078127	Sy-B/0.001672	Sy-I/0.014383	Tr-B/0.002740	Tr-I/0.011973	unct-B/0.000226	unct-I/0.002321
发	CHN	O/0.850248	Bo-B/0.000096	Bo-I/0.003169	Ch-B/0.000270	Ch-I/0.007906	DT-B/0.000072	DT-I/0.001428	O/0.850248	Si-B/0.000479	Si-I/0.091320	Sy-B/0.010482	Sy-I/0.015210	Tr-B/0.001584	Tr-I/0.014689	unct-B/0.000076	unct-I/0.002972
性	CHN	O/0.849542	Bo-B/0.000141	Bo-I/0.001954	Ch-B/0.000238	Ch-I/0.007363	DT-B/0.000079	DT-I/0.002750	O/0.849542	Si-B/0.000080	Si-I/0.092013	Sy-B/0.000315	Sy-I/0.025589	Tr-B/0.000153	Tr-I/0.016485	unct-B/0.000066	unct-I/0.003232
”	PUNC	O/0.999782	Bo-B/0.000001	Bo-I/0.000007	Ch-B/0.000001	Ch-I/0.000004	DT-B/0.000001	DT-I/0.000002	O/0.999782	Si-B/0.000000	Si-I/0.000069	Sy-B/0.000001	Sy-I/0.000087	Tr-B/0.000000	Tr-I/0.000015	unct-B/0.000000	unct-I/0.000029
;	PUNC	O/0.999991	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999991	Si-B/0.000001	Si-I/0.000001	Sy-B/0.000001	Sy-I/0.000001	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000002
“	PUNC	O/0.999974	Bo-B/0.000005	Bo-I/0.000000	Ch-B/0.000008	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999974	Si-B/0.000007	Si-I/0.000000	Sy-B/0.000004	Sy-I/0.000000	Tr-B/0.000001	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
自	CHN	O/0.951819	Bo-B/0.007830	Bo-I/0.000033	Ch-B/0.002692	Ch-I/0.000016	DT-B/0.000325	DT-I/0.000013	O/0.951819	Si-B/0.028911	Si-I/0.000050	Sy-B/0.002187	Sy-I/0.000005	Tr-B/0.005715	Tr-I/0.000009	unct-B/0.000386	unct-I/0.000009
诉	CHN	O/0.953240	Bo-B/0.000027	Bo-I/0.007311	Ch-B/0.000046	Ch-I/0.002429	DT-B/0.000011	DT-I/0.000162	O/0.953240	Si-B/0.000931	Si-I/0.028741	Sy-B/0.000063	Sy-I/0.001880	Tr-B/0.000104	Tr-I/0.004778	unct-B/0.000021	unct-I/0.000255
有	CHN	O/0.964792	Bo-B/0.000018	Bo-I/0.000791	Ch-B/0.000027	Ch-I/0.000456	DT-B/0.000026	DT-I/0.000121	O/0.964792	Si-B/0.000787	Si-I/0.029321	Sy-B/0.000062	Sy-I/0.000935	Tr-B/0.000082	Tr-I/0.002340	unct-B/0.000028	unct-I/0.000214
高	CHN	Si-B/0.956167	Bo-B/0.000030	Bo-I/0.000078	Ch-B/0.000106	Ch-I/0.000053	DT-B/0.000047	DT-I/0.000079	O/0.010467	Si-B/0.956167	Si-I/0.031254	Sy-B/0.000642	Sy-I/0.000490	Tr-B/0.000194	Tr-I/0.000274	unct-B/0.000059	unct-I/0.000060
脂	CHN	Si-I/0.988430	Bo-B/0.000003	Bo-I/0.000019	Ch-B/0.000018	Ch-I/0.000087	DT-B/0.000003	DT-I/0.000040	O/0.005362	Si-B/0.004537	Si-I/0.988430	Sy-B/0.000242	Sy-I/0.001050	Tr-B/0.000021	Tr-I/0.000144	unct-B/0.000008	unct-I/0.000036
血	CHN	Si-I/0.993174	Bo-B/0.000003	Bo-I/0.000003	Ch-B/0.000020	Ch-I/0.000074	DT-B/0.000001	DT-I/0.000018	O/0.004496	Si-B/0.000067	Si-I/0.993174	Sy-B/0.000685	Sy-I/0.001309	Tr-B/0.000017	Tr-I/0.000099	unct-B/0.000002	unct-I/0.000030
症	CHN	Si-I/0.991591	Bo-B/0.000005	Bo-I/0.000025	Ch-B/0.000003	Ch-I/0.000115	DT-B/0.000004	DT-I/0.000102	O/0.005593	Si-B/0.000001	Si-I/0.991591	Sy-B/0.000003	Sy-I/0.002270	Tr-B/0.000002	Tr-I/0.000158	unct-B/0.000003	unct-I/0.000125
,	PUNC	O/0.999995	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999995	Si-B/0.000000	Si-I/0.000004	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
服	CHN	O/0.986138	Bo-B/0.005694	Bo-I/0.000006	Ch-B/0.001631	Ch-I/0.000001	DT-B/0.000118	DT-I/0.000007	O/0.986138	Si-B/0.000731	Si-I/0.000004	Sy-B/0.000711	Sy-I/0.000000	Tr-B/0.004567	Tr-I/0.000020	unct-B/0.000366	unct-I/0.000005
用	CHN	O/0.961577	Bo-B/0.000211	Bo-I/0.005502	Ch-B/0.000427	Ch-I/0.001457	DT-B/0.000148	DT-I/0.000293	O/0.961577	Si-B/0.000542	Si-I/0.000662	Sy-B/0.000907	Sy-I/0.000573	Tr-B/0.021703	Tr-I/0.005330	unct-B/0.000246	unct-I/0.000422
可	CHN	Tr-B/0.705021	Bo-B/0.000076	Bo-I/0.000702	Ch-B/0.000140	Ch-I/0.000310	DT-B/0.000049	DT-I/0.000100	O/0.264799	Si-B/0.000147	Si-I/0.000118	Sy-B/0.000269	Sy-I/0.000253	Tr-B/0.705021	Tr-I/0.027816	unct-B/0.000072	unct-I/0.000129
定	CHN	Tr-I/0.740745	Bo-B/0.000204	Bo-I/0.000453	Ch-B/0.000195	Ch-I/0.000236	DT-B/0.000043	DT-I/0.000144	O/0.241962	Si-B/0.000331	Si-I/0.000134	Sy-B/0.000641	Sy-I/0.000407	Tr-B/0.014301	Tr-I/0.740745	unct-B/0.000083	unct-I/0.000120
降	CHN	Tr-I/0.751411	Bo-B/0.000047	Bo-I/0.000594	Ch-B/0.000123	Ch-I/0.000334	DT-B/0.000041	DT-I/0.000266	O/0.222315	Si-B/0.000131	Si-I/0.000417	Sy-B/0.000116	Sy-I/0.000985	Tr-B/0.022891	Tr-I/0.751411	unct-B/0.000071	unct-I/0.000259
脂	CHN	Tr-I/0.777520	Bo-B/0.000035	Bo-I/0.000288	Ch-B/0.000120	Ch-I/0.000263	DT-B/0.000044	DT-I/0.000192	O/0.204714	Si-B/0.000154	Si-I/0.000399	Sy-B/0.000176	Sy-I/0.000653	Tr-B/0.015214	Tr-I/0.777520	unct-B/0.000062	unct-I/0.000165
治	CHN	Tr-I/0.797000	Bo-B/0.000048	Bo-I/0.000028	Ch-B/0.000095	Ch-I/0.000197	DT-B/0.000023	DT-I/0.000250	O/0.196755	Si-B/0.000024	Si-I/0.000303	Sy-B/0.000365	Sy-I/0.000505	Tr-B/0.004311	Tr-I/0.797000	unct-B/0.000017	unct-I/0.000079
疗	CHN	Tr-I/0.804103	Bo-B/0.000068	Bo-I/0.000078	Ch-B/0.000132	Ch-I/0.000319	DT-B/0.000037	DT-I/0.000834	O/0.192760	Si-B/0.000063	Si-I/0.000346	Sy-B/0.000214	Sy-I/0.000833	Tr-B/0.000081	Tr-I/0.804103	unct-B/0.000031	unct-I/0.000100
”	PUNC	O/0.999699	Bo-B/0.000003	Bo-I/0.000013	Ch-B/0.000002	Ch-I/0.000002	DT-B/0.000002	DT-I/0.000002	O/0.999699	Si-B/0.000001	Si-I/0.000000	Sy-B/0.000002	Sy-I/0.000004	Tr-B/0.000001	Tr-I/0.000252	unct-B/0.000001	unct-I/0.000015
;	PUNC	O/0.999991	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000002	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999991	Si-B/0.000001	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000002	unct-B/0.000000	unct-I/0.000001
“	PUNC	O/0.999954	Bo-B/0.000005	Bo-I/0.000000	Ch-B/0.000015	Ch-I/0.000000	DT-B/0.000003	DT-I/0.000000	O/0.999954	Si-B/0.000006	Si-I/0.000000	Sy-B/0.000011	Sy-I/0.000000	Tr-B/0.000004	Tr-I/0.000000	unct-B/0.000002	unct-I/0.000000
高	CHN	Si-B/0.996308	Bo-B/0.000072	Bo-I/0.000000	Ch-B/0.000353	Ch-I/0.000002	DT-B/0.000085	DT-I/0.000003	O/0.002654	Si-B/0.996308	Si-I/0.000042	Sy-B/0.000137	Sy-I/0.000000	Tr-B/0.000277	Tr-I/0.000000	unct-B/0.000066	unct-I/0.000001
血	CHN	Si-I/0.996630	Bo-B/0.000001	Bo-I/0.000006	Ch-B/0.001136	Ch-I/0.000404	DT-B/0.000001	DT-I/0.000010	O/0.001498	Si-B/0.000054	Si-I/0.996630	Sy-B/0.000015	Sy-I/0.000090	Tr-B/0.000032	Tr-I/0.000117	unct-B/0.000001	unct-I/0.000007
压	CHN	Si-I/0.994802	Bo-B/0.000004	Bo-I/0.000010	Ch-B/0.000035	Ch-I/0.002494	DT-B/0.000002	DT-I/0.000035	O/0.001957	Si-B/0.000017	Si-I/0.994802	Sy-B/0.000037	Sy-I/0.000148	Tr-B/0.000023	Tr-I/0.000390	unct-B/0.000005	unct-I/0.000040
病	CHN	Si-I/0.986680	Bo-B/0.000024	Bo-I/0.000102	Ch-B/0.000718	Ch-I/0.002463	DT-B/0.000023	DT-I/0.000196	O/0.008421	Si-B/0.000014	Si-I/0.986680	Sy-B/0.000005	Sy-I/0.000293	Tr-B/0.000013	Tr-I/0.000854	unct-B/0.000022	unct-I/0.000173
1	NUM	O/0.996151	Bo-B/0.000006	Bo-I/0.000032	Ch-B/0.000004	Ch-I/0.000006	DT-B/0.000004	DT-I/0.000002	O/0.996151	Si-B/0.000002	Si-I/0.003780	Sy-B/0.000001	Sy-I/0.000001	Tr-B/0.000002	Tr-I/0.000004	unct-B/0.000002	unct-I/0.000003
0	NUM	O/0.999541	Bo-B/0.000003	Bo-I/0.000013	Ch-B/0.000012	Ch-I/0.000002	DT-B/0.000003	DT-I/0.000000	O/0.999541	Si-B/0.000007	Si-I/0.000401	Sy-B/0.000011	Sy-I/0.000002	Tr-B/0.000004	Tr-I/0.000001	unct-B/0.000001	unct-I/0.000000
余	CHN	O/0.999547	Bo-B/0.000018	Bo-I/0.000003	Ch-B/0.000023	Ch-I/0.000007	DT-B/0.000004	DT-I/0.000003	O/0.999547	Si-B/0.000019	Si-I/0.000109	Sy-B/0.000218	Sy-I/0.000010	Tr-B/0.000030	Tr-I/0.000003	unct-B/0.000004	unct-I/0.000001
年	CHN	O/0.999551	Bo-B/0.000004	Bo-I/0.000007	Ch-B/0.000006	Ch-I/0.000011	DT-B/0.000002	DT-I/0.000014	O/0.999551	Si-B/0.000003	Si-I/0.000106	Sy-B/0.000018	Sy-I/0.000229	Tr-B/0.000005	Tr-I/0.000032	unct-B/0.000002	unct-I/0.000010
,	PUNC	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
收	CHN	O/0.906599	Bo-B/0.012800	Bo-I/0.000014	Ch-B/0.056133	Ch-I/0.000108	DT-B/0.000221	DT-I/0.000011	O/0.906599	Si-B/0.004417	Si-I/0.000017	Sy-B/0.017239	Sy-I/0.000007	Tr-B/0.001899	Tr-I/0.000007	unct-B/0.000523	unct-I/0.000007
缩	CHN	O/0.898176	Bo-B/0.000295	Bo-I/0.011980	Ch-B/0.007997	Ch-I/0.057346	DT-B/0.000023	DT-I/0.000140	O/0.898176	Si-B/0.000202	Si-I/0.004227	Sy-B/0.000281	Sy-I/0.016653	Tr-B/0.000665	Tr-I/0.001688	unct-B/0.000038	unct-I/0.000288
压	CHN	O/0.901991	Bo-B/0.000094	Bo-I/0.010014	Ch-B/0.000138	Ch-I/0.066108	DT-B/0.000030	DT-I/0.000159	O/0.901991	Si-B/0.000085	Si-I/0.003980	Sy-B/0.000183	Sy-I/0.014675	Tr-B/0.000196	Tr-I/0.002060	unct-B/0.000058	unct-I/0.000226
最	CHN	O/0.994534	Bo-B/0.000003	Bo-I/0.000586	Ch-B/0.000003	Ch-I/0.000873	DT-B/0.000003	DT-I/0.000022	O/0.994534	Si-B/0.000002	Si-I/0.000513	Sy-B/0.000006	Sy-I/0.002825	Tr-B/0.000032	Tr-I/0.000569	unct-B/0.000002	unct-I/0.000028
高	CHN	O/0.997121	Bo-B/0.000004	Bo-I/0.000023	Ch-B/0.000088	Ch-I/0.000141	DT-B/0.000004	DT-I/0.000035	O/0.997121	Si-B/0.000011	Si-I/0.000188	Sy-B/0.000105	Sy-I/0.001702	Tr-B/0.000044	Tr-I/0.000521	unct-B/0.000002	unct-I/0.000011
在	CHN	O/0.991896	Bo-B/0.000041	Bo-I/0.000018	Ch-B/0.005157	Ch-I/0.000241	DT-B/0.000023	DT-I/0.000107	O/0.991896	Si-B/0.000080	Si-I/0.000161	Sy-B/0.000065	Sy-I/0.001575	Tr-B/0.000056	Tr-I/0.000542	unct-B/0.000020	unct-I/0.000017
1	NUM	O/0.999951	Bo-B/0.000000	Bo-I/0.000003	Ch-B/0.000001	Ch-I/0.000027	DT-B/0.000000	DT-I/0.000000	O/0.999951	Si-B/0.000001	Si-I/0.000004	Sy-B/0.000001	Sy-I/0.000008	Tr-B/0.000000	Tr-I/0.000002	unct-B/0.000000	unct-I/0.000000
5	NUM	O/0.999973	Bo-B/0.000003	Bo-I/0.000001	Ch-B/0.000004	Ch-I/0.000000	DT-B/0.000001	DT-I/0.000000	O/0.999973	Si-B/0.000002	Si-I/0.000001	Sy-B/0.000012	Sy-I/0.000002	Tr-B/0.000001	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
0	NUM	O/0.999913	Bo-B/0.000007	Bo-I/0.000005	Ch-B/0.000011	Ch-I/0.000001	DT-B/0.000002	DT-I/0.000000	O/0.999913	Si-B/0.000004	Si-I/0.000001	Sy-B/0.000038	Sy-I/0.000013	Tr-B/0.000004	Tr-I/0.000000	unct-B/0.000001	unct-I/0.000000
-	PUNC	O/0.999864	Bo-B/0.000005	Bo-I/0.000009	Ch-B/0.000048	Ch-I/0.000003	DT-B/0.000003	DT-I/0.000000	O/0.999864	Si-B/0.000006	Si-I/0.000001	Sy-B/0.000008	Sy-I/0.000044	Tr-B/0.000006	Tr-I/0.000001	unct-B/0.000002	unct-I/0.000000
1	NUM	O/0.999972	Bo-B/0.000002	Bo-I/0.000002	Ch-B/0.000003	Ch-I/0.000004	DT-B/0.000002	DT-I/0.000000	O/0.999972	Si-B/0.000002	Si-I/0.000001	Sy-B/0.000003	Sy-I/0.000007	Tr-B/0.000002	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
6	NUM	O/0.999969	Bo-B/0.000002	Bo-I/0.000001	Ch-B/0.000004	Ch-I/0.000000	DT-B/0.000001	DT-I/0.000000	O/0.999969	Si-B/0.000002	Si-I/0.000000	Sy-B/0.000016	Sy-I/0.000002	Tr-B/0.000001	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
0	NUM	O/0.999887	Bo-B/0.000004	Bo-I/0.000002	Ch-B/0.000009	Ch-I/0.000001	DT-B/0.000002	DT-I/0.000000	O/0.999887	Si-B/0.000005	Si-I/0.000001	Sy-B/0.000064	Sy-I/0.000018	Tr-B/0.000004	Tr-I/0.000000	unct-B/0.000002	unct-I/0.000000
m	ENG	O/0.999553	Bo-B/0.000009	Bo-I/0.000003	Ch-B/0.000046	Ch-I/0.000002	DT-B/0.000006	DT-I/0.000001	O/0.999553	Si-B/0.000029	Si-I/0.000002	Sy-B/0.000220	Sy-I/0.000080	Tr-B/0.000012	Tr-I/0.000001	unct-B/0.000025	unct-I/0.000009
m	ENG	O/0.998728	Bo-B/0.000016	Bo-I/0.000005	Ch-B/0.000217	Ch-I/0.000034	DT-B/0.000009	DT-I/0.000002	O/0.998728	Si-B/0.000072	Si-I/0.000020	Sy-B/0.000497	Sy-I/0.000297	Tr-B/0.000024	Tr-I/0.000006	unct-B/0.000025	unct-I/0.000049
H	ENG	O/0.996984	Bo-B/0.000036	Bo-I/0.000010	Ch-B/0.000300	Ch-I/0.000260	DT-B/0.000013	DT-I/0.000005	O/0.996984	Si-B/0.000159	Si-I/0.000075	Sy-B/0.001203	Sy-I/0.000789	Tr-B/0.000051	Tr-I/0.000017	unct-B/0.000028	unct-I/0.000072
