# 0.264281
①	OTHER	O	O/0.997338	Bo-B/0.000123	Bo-I/0.000127	Ch-B/0.000145	Ch-I/0.000099	O/0.997338	Si-B/0.000379	Si-I/0.000149	Sy-B/0.000947	Sy-I/0.000357	Tr-B/0.000189	Tr-I/0.000147
侧	CHN	R-I	Bo-I/0.999703	Bo-B/0.000028	Bo-I/0.999703	Ch-B/0.000000	Ch-I/0.000012	O/0.000000	Si-B/0.000000	Si-I/0.000097	Sy-B/0.000000	Sy-I/0.000054	Tr-B/0.000000	Tr-I/0.000106
面	CHN	R-I	Bo-I/0.999934	Bo-B/0.000011	Bo-I/0.999934	Ch-B/0.000000	Ch-I/0.000002	O/0.000000	Si-B/0.000000	Si-I/0.000022	Sy-B/0.000000	Sy-I/0.000004	Tr-B/0.000000	Tr-I/0.000027
部	CHN	R-I	Bo-I/0.999985	Bo-B/0.000000	Bo-I/0.999985	Ch-B/0.000000	Ch-I/0.000001	O/0.000001	Si-B/0.000000	Si-I/0.000005	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000006
麻	CHN	R-B	Sy-B/0.999888	Bo-B/0.000032	Bo-I/0.000001	Ch-B/0.000057	Ch-I/0.000000	O/0.000001	Si-B/0.000011	Si-I/0.000000	Sy-B/0.999888	Sy-I/0.000002	Tr-B/0.000008	Tr-I/0.000000
木	CHN	R-I	Sy-I/0.999862	Bo-B/0.000001	Bo-I/0.000040	Ch-B/0.000000	Ch-I/0.000064	O/0.000002	Si-B/0.000000	Si-I/0.000018	Sy-B/0.000001	Sy-I/0.999862	Tr-B/0.000001	Tr-I/0.000010
,	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
呈	CHN	O	O/0.999999	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
阵	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
发	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
性	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
”	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
;	PUNC	O	O/0.999998	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
“	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
自	CHN	O	O/0.999998	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
诉	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
有	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
高	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
脂	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
血	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
症	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
服	CHN	O	O/0.999999	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
用	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
可	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
定	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
降	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
脂	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
治	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
疗	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
”	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
;	PUNC	O	O/0.999998	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
“	PUNC	O	O/0.999989	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000003	Ch-I/0.000000	O/0.999989	Si-B/0.000002	Si-I/0.000001	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000001	Tr-I/0.000001
高	CHN	R-B	Si-B/0.997314	Bo-B/0.000376	Bo-I/0.000000	Ch-B/0.001297	Ch-I/0.000000	O/0.000005	Si-B/0.997314	Si-I/0.000032	Sy-B/0.000179	Sy-I/0.000000	Tr-B/0.000796	Tr-I/0.000000
血	CHN	R-I	Si-I/0.997944	Bo-B/0.000000	Bo-I/0.000233	Ch-B/0.000003	Ch-I/0.001178	O/0.000000	Si-B/0.000016	Si-I/0.997944	Sy-B/0.000000	Sy-I/0.000084	Tr-B/0.000001	Tr-I/0.000542
压	CHN	R-I	Si-I/0.997277	Bo-B/0.000004	Bo-I/0.000407	Ch-B/0.000018	Ch-I/0.001500	O/0.000024	Si-B/0.000009	Si-I/0.997277	Sy-B/0.000004	Sy-I/0.000054	Tr-B/0.000003	Tr-I/0.000700
病	CHN	O	O/0.999905	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000000	O/0.999905	Si-B/0.000000	Si-I/0.000092	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
1	NUM	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
0	NUM	O	O/0.999998	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
余	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
年	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
收	CHN	O	O/0.999999	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
缩	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
压	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
最	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
高	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
在	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
1	NUM	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
5	NUM	O	O/0.999997	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999997	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
0	NUM	O	O/0.999997	Bo-B/0.000000	Bo-I/0.000001	Ch-B/0.000000	Ch-I/0.000000	O/0.999997	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000001	Tr-I/0.000000
-	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
1	NUM	O	O/0.999998	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
6	NUM	O	O/0.999997	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000000	O/0.999997	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
0	NUM	O	O/0.999996	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999996	Si-B/0.000001	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000001	Tr-I/0.000001
m	ENG	O	O/0.999991	Bo-B/0.000001	Bo-I/0.000001	Ch-B/0.000002	Ch-I/0.000000	O/0.999991	Si-B/0.000001	Si-I/0.000001	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000001	Tr-I/0.000001
m	ENG	O	O/0.999992	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000003	Ch-I/0.000001	O/0.999992	Si-B/0.000001	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000001	Tr-I/0.000001
H	ENG	O	O/0.999991	Bo-B/0.000001	Bo-I/0.000001	Ch-B/0.000003	Ch-I/0.000001	O/0.999991	Si-B/0.000001	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000001	Tr-B/0.000001	Tr-I/0.000001
g	ENG	O	O/0.999995	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000001	O/0.999995	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000001	Tr-I/0.000000
之	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
间	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
平	CHN	O	O/0.999999	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
时	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
服	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
用	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
络	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
活	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
喜	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
降	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
压	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
”	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
。	PUNC	O	O/0.999997	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000000	O/0.999997	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000001	Tr-I/0.000000
查	CHN	R-B	Ch-B/0.999994	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.999994	Ch-I/0.000002	O/0.000000	Si-B/0.000001	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000001	Tr-I/0.000000
体	CHN	R-I	Ch-I/0.999995	Bo-B/0.000000	Bo-I/0.000001	Ch-B/0.000000	Ch-I/0.999995	O/0.000000	Si-B/0.000000	Si-I/0.000001	Sy-B/0.000000	Sy-I/0.000001	Tr-B/0.000000	Tr-I/0.000000
:	PUNC	O	O/0.999972	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000002	Ch-I/0.000024	O/0.999972	Si-B/0.000001	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
T	ENG	R-B	Ch-B/0.999920	Bo-B/0.000046	Bo-I/0.000001	Ch-B/0.999920	Ch-I/0.000007	O/0.000011	Si-B/0.000005	Si-I/0.000001	Sy-B/0.000004	Sy-I/0.000001	Tr-B/0.000005	Tr-I/0.000001
:	PUNC	O	O/0.999979	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000018	O/0.999979	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
3	NUM	O	O/0.999997	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000000	O/0.999997	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
6	NUM	O	O/0.999997	Bo-B/0.000000	Bo-I/0.000001	Ch-B/0.000000	Ch-I/0.000000	O/0.999997	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
.	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
5	NUM	O	O/0.999994	Bo-B/0.000001	Bo-I/0.000001	Ch-B/0.000001	Ch-I/0.000000	O/0.999994	Si-B/0.000001	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000001	Tr-I/0.000000
℃	OTHER	O	O/0.999990	Bo-B/0.000002	Bo-I/0.000001	Ch-B/0.000002	Ch-I/0.000001	O/0.999990	Si-B/0.000001	Si-I/0.000001	Sy-B/0.000001	Sy-I/0.000001	Tr-B/0.000002	Tr-I/0.000001
,	PUNC	O	O/0.999983	Bo-B/0.000001	Bo-I/0.000001	Ch-B/0.000007	Ch-I/0.000001	O/0.999983	Si-B/0.000002	Si-I/0.000001	Sy-B/0.000001	Sy-I/0.000001	Tr-B/0.000003	Tr-I/0.000001
P	ENG	R-B	Ch-B/0.999868	Bo-B/0.000084	Bo-I/0.000001	Ch-B/0.999868	Ch-I/0.000007	O/0.000014	Si-B/0.000003	Si-I/0.000002	Sy-B/0.000006	Sy-I/0.000001	Tr-B/0.000012	Tr-I/0.000003
:	PUNC	O	O/0.999972	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000024	O/0.999972	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
7	NUM	O	O/0.999997	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000000	O/0.999997	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
0	NUM	O	O/0.999997	Bo-B/0.000001	Bo-I/0.000001	Ch-B/0.000000	Ch-I/0.000000	O/0.999997	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
次	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
/	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
分	CHN	O	O/0.999998	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
呼	CHN	R-B	Ch-B/0.999779	Bo-B/0.000023	Bo-I/0.000000	Ch-B/0.999779	Ch-I/0.000002	O/0.000000	Si-B/0.000004	Si-I/0.000000	Sy-B/0.000187	Sy-I/0.000000	Tr-B/0.000005	Tr-I/0.000000
吸	CHN	R-I	Ch-I/0.999686	Bo-B/0.000000	Bo-I/0.000029	Ch-B/0.000002	Ch-I/0.999686	O/0.000004	Si-B/0.000000	Si-I/0.000014	Sy-B/0.000001	Sy-I/0.000254	Tr-B/0.000001	Tr-I/0.000009
:	PUNC	O	O/0.999998	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000001	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
1	NUM	O	O/0.999998	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
8	NUM	O	O/0.999997	Bo-B/0.000001	Bo-I/0.000001	Ch-B/0.000000	Ch-I/0.000000	O/0.999997	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
次	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
/	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
分	CHN	O	O/0.999998	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
血	CHN	R-B	Ch-B/0.999958	Bo-B/0.000009	Bo-I/0.000000	Ch-B/0.999958	Ch-I/0.000001	O/0.000000	Si-B/0.000007	Si-I/0.000000	Sy-B/0.000021	Sy-I/0.000000	Tr-B/0.000003	Tr-I/0.000000
压	CHN	R-I	Ch-I/0.999889	Bo-B/0.000000	Bo-I/0.000012	Ch-B/0.000005	Ch-I/0.999889	O/0.000003	Si-B/0.000000	Si-I/0.000047	Sy-B/0.000000	Sy-I/0.000036	Tr-B/0.000001	Tr-I/0.000006
:	PUNC	O	O/0.999997	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000003	O/0.999997	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
1	NUM	O	O/0.999998	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
3	NUM	O	O/0.999998	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
